site,shan,simp,rich,ACHY,ATCA2,SIAL2,EPBR3,EQAR4,ARDO3,POPR,SCAR7,IVAX,SECE,MIGR,UNK_PLANT2,ASFA,JUBA,ERCE6,CAPU6,HOJU,UNK_TYPHA,BRCA6,ACRE3,UNK_POACEAE8,LEPI,UNK_SALSOLA,PLLA,DAGL,HOMU,DISP,COAR4,UNK_FORB2,MAPA5,UNK_FORB1,UNK_EQUISETUM,ERCI6,ATCO,LASE,CABU2,UNK_DEAD,UNK_ERIOGONUM,ALCE,TEOF,MESA,UNK_POACEAE10,BASC5,ZEMA
Yerington,1.4614335678218895,0.7184331519027964,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.016666666666666666,0.08333333333333333,0.8333333333333334,0.016666666666666666,3.4166666666666665,0.03333333333333333,6.416666666666667,0.08333333333333333,0.9166666666666666,6.633333333333334
Fallon,2.0770273026331187,0.7445969272062567,29,0,0.8762886597938144,0,0,0,0,0,0,0,0,0,0.010309278350515464,0.4020618556701031,2.0618556701030926,0.18556701030927836,0.5154639175257731,0.20618556701030927,0.061855670103092786,0.15463917525773196,1.8556701030927836,0.16494845360824742,0.15463917525773196,0.010309278350515464,1.8762886597938144,0.6701030927835051,0.21649484536082475,1.5463917525773196,1.597938144329897,0.05154639175257732,0.061855670103092786,0.4948453608247423,0.010309278350515464,0.010309278350515464,0.061855670103092786,0,0.05154639175257732,0,0,0,0.10309278350515463,14.597938144329897,0,0.5979381443298969,1.7010309278350515
Minden,0.994112829614141,0.38143135106029413,25,0.049019607843137254,1.2745098039215685,0.23529411764705882,0.0392156862745098,0.30392156862745096,0.049019607843137254,0.049019607843137254,1.6666666666666667,0.049019607843137254,0.00980392156862745,0.00980392156862745,0,0,0,0.06862745098039216,0,0,0,0,0,2.107843137254902,0,0.058823529411764705,0,0,0.058823529411764705,0,0.08823529411764706,0,0.22549019607843138,0.27450980392156865,0.19607843137254902,0.00980392156862745,0.00980392156862745,0.029411764705882353,0,0,0,0,0.0392156862745098,25.627450980392158,0,0.28431372549019607,0
Lovelock,0.9906273755888138,0.4667854954669869,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01818181818181818,0,0,0,3.381818181818182,0,0,0,0,0,0,2.4272727272727272,1.6,0,0.15454545454545454,0,0,0,0,0.045454545454545456,0,0,0,0,0.00909090909090909,20.60909090909091,0,0.6454545454545455,0
