0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster,6_cluster
1.8046168493969643E8,1.0626401915122563E8,5314901.7263724245,1.3610454765804282E8,2.645262200706427E7,1.5116304962043487E7,5.783452621433084E8
6.843014787444623E8,2.01227429854148E7,1163323.7173623792,2.246127623149742E8,2.4491706759624027E7,236593.71287775325,9.31308281536892E7
2.9800790242381877E8,3.0179007319007233E7,807830.3053359407,6.082843042445809E8,3.5948947309023194E7,654989.1321249816,7.417408880411287E7
8.180216954148115E7,2.155036639459295E7,530474.9082257812,2.562645702202745E8,2.926722062018768E7,5.2850063715085775E7,6.056538844081986E8
1.4086502143898386E8,2.9598108212881804E8,1.468841142511146E8,1.1922641188598749E8,1.1473275703992614E8,9506728.601911873,2.2072395555765036E8
3.3515090662621754E8,1.1867834074968734E8,2.3304937916304816E7,1.9142598910549274E8,2.0488737701421425E8,832933.5943765035,1.7363786188582125E8
2.3471358556829304E8,5.456074160564692E7,1489292.0423279207,2.9669816704055685E8,1.142856039054731E8,2.9864160815495E7,3.1638727974314696E8
9.231087223687655E7,2.7437182557296194E7,463877.1919813822,3.949653636654549E8,1.1355573902399836E8,5.437750270976857E7,3.64889097578904E8
3.2288379532324123E8,1.9333247544654888E8,2.7686975106825683E7,1.5392070549371287E8,6.228426746425551E7,1.3793850571501192E8,1.4994966027718875E8
3.458608654936709E8,4.4202225528393656E7,4183451.4796950435,1.3281837212548217E8,5.650958180300939E7,4.0196158726160204E8,6.250724965257468E7
3.239483179161768E8,1.5978865557580838E8,5.539515983758896E7,5.507697239897536E7,1.4070537233731237E8,2.1765484486101264E8,9.547568064533204E7
2.719563312984395E8,1.6813103589684987E8,6.318643347815262E7,1.9453860649735937E8,7.370369395547494E7,1.9102598125886914E8,8.550255691683643E7
2155681.4228130747,401320.72566288104,0.0010727416043452467,8556046.52433709,1829373.8367657783,1.2816713359822272E-8,2148188.858434043
8161453.038825256,90776.77371781366,3.618448266311758E-7,5095653.716300321,122266.97185657878,3.3088794871641097E-6,1620462.2162578884
1695686.1089780882,244907.33733817923,3.2279624078337185E-10,1.2833449453159185E7,0.3281365343411182,9.789333544727544E-20,316535.25034854905
2175302.592637277,0.004542675673316059,1.975579294252308E-11,4040072.437208487,192233.14972351905,251076.2420711219,8429894.503340388
1995671.9017921768,2207050.4459783984,452116.1171661295,4093540.4567208234,78914.89095071898,820434.2240260281,5440869.920957225
4994515.05659419,96233.56141652101,5.710480767862935E-9,5075091.683836563,3001540.3180805407,4.1681476041883457E-10,1921192.476587069
2076304.317142028,1048557.0314491629,1.2318009898975652E-4,1.0583247341238469E7,49498.51025737584,6.383058696189196,1332122.628739997
71.65018047116644,0.04789221662698772,1.2675646122403371E-5,9153326.629759882,1290547.1589482173,81048.56651033513,4564753.881469451
823395.9104897992,271137.7806712708,124.03296482486533,1.0650952707874577E7,232595.4904828022,135635.85101407173,2975859.1664693165
0.018399215099649202,9.51456797190387E-5,1.4879753754898166E-5,169687.4688049746,0.029332396416252945,1.4464342692352705E7,456349.75618464575
