0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster,6_cluster
1.4926126604110664E8,7.318495674530794E7,9.274973596291618E7,4.284951789719112E7,2089550.259862732,1.3814597459996164E8,5.497783410814124E8
1.2614671239825277E7,6.795195448481364E8,4.948264246010995E7,2614737.443929862,195670.40242815737,2.738731626471838E8,2.9759007346791726E7
2.0451895491018072E8,1.1109382456097162E8,1.2916693610435693E7,770932.5873882471,440325.5038474608,4.82065872809095E8,2.3625046555608588E8
1.3161454549579933E8,4.615448955155116E7,1.1512006407227397E7,807237.7378297029,0.0,6.948436784938015E8,1.6298679212183642E8
3.216269582551476E8,2.3785034507938397E8,1.3130071746332818E8,8725879.013049977,0.0,2.3041629632246178E8,1.1799987477101582E8
1.9961465878292608E8,2.9233765701338905E8,1.2235677932683378E8,2.3063659939326808E7,1199594.3718835975,3.763976705085436E8,3.294832694921551E7
1.2562060127033386E8,2.1558878989815867E8,1.217835709167212E8,2.0718176189355604E7,1400727.0610462711,3.432080427446607E8,2.1967892264066017E8
1.165089826998642E8,8.989561853234012E7,5.486285064364831E7,1.2945256336877193E7,608941.3672267341,4.095561136363671E8,3.6362187174796134E8
1.2093639671187274E8,1.8242461639452457E8,2.550206574221426E8,8.28448837820727E7,1.3565986929573758E7,1.998509629837575E8,1.9335288060283405E8
7.813307031188619E7,3.042507225478419E8,2.5074721478543794E8,2.8068286864218533E7,2267238.671385011,4.465830518218755E7,3.399184949814686E8
3.050574359522065E7,1.7470327067279327E8,3.0525433906842375E8,2.2503126537799266E8,3.893748099517404E7,6.605243269636444E7,2.0756047116622958E8
4.8541088229600176E7,2.648142594986028E8,2.873384809272238E8,1.5189990881423843E8,5.734822195611523E7,2.5625458859678112E7,2.1247722101652464E8
1672496.5731698007,3520122.111002421,759674.9452626519,18904.730552704954,4.264767621910781E-6,33721.79042254599,9085691.218670843
1655745.2197890354,6670940.537353498,163752.97266802774,2.9391950351474213E-5,1.1268802069177854E-12,5326528.6753640715,1273645.3117575361
820741.1528411098,431677.54455612367,237255.31495684022,1.546531695440426E-9,5.083003995193319E-10,1.309514063743591E7,505763.82817055564
3554371.7682104884,301928.4010734455,0.0018400301963900796,3.5779134400354795E-10,0.0,8645668.998006307,2586609.7603933904
4242256.746077416,3101646.039220729,346347.4430014049,2.9686540546354497E-10,0.0,4973842.414155882,2424505.3151359833
4023218.519509416,3893050.6250477713,7.852847369437513,1.7296005315219757E-9,2.3624266104108555E-18,6380865.009673953,791431.0894360284
2359523.23666165,1493533.2821521116,917999.1850781708,377806.04855023057,4.4576114896913706E-7,8375934.587020432,1564939.872545861
2067570.1264444676,0.20858501667931093,0.16840723496455728,0.0029866876388101177,2.2952015161163278E-7,8741049.21632243,4281128.212027793
1985274.7424920283,596470.0444993019,415939.73137716827,13667.663538423356,0.08111708748448815,4317129.675361138,7761219.001581196
996845.7067230409,52262.439725648845,57964.56474963235,8.429844887608444E-5,1.743622911979434E-5,135642.25805361898,1.3847664995830094E7
1467823.0250228175,1437268.6412316456,9534400.045147968,2054074.1308355439,4.669383991392209,1.6515522193478338E-4,596833.3262899995
1820666.826608697,2263814.936035822,3216033.1445729006,440901.62662016077,6.166624360668133,2.775385993304102E-4,7348976.044335378
7786660.845891325,9733625.272685383,6872521.489094008,283810.8939726192,13.16593105289697,2772420.742322483,4.975030399772122E7
2682089.1681310097,4.694996194141829E7,1559667.351682013,15.665585757258032,0.001230977300554379,2.3163356155727565E7,2844272.993608475
1.1296206605936171E7,2823680.444901872,731506.9896695904,0.10653069891327342,0.05461662338667484,5.096032208614343E7,1.1387471875219908E7
1.4184357976541746E7,1579697.4223813543,274.5189574412559,0.04219017839091804,0.0,5.18225886500417E7,9602040.42906149
2.5615817951600756E7,1.148836361570275E7,1383198.0382484891,0.03898821124841327,0.0,2.364237704135379E7,1.5059299677612929E7
2.2438862307307508E7,1.768829570370125E7,12661.44168333779,0.06664135636637467,1.6737714852073464E-6,3.5302080297857E7,1747029.3767519915
8935967.71822886,6454562.40963296,6062924.843825599,4088047.3276099595,1.348343721619094,4.32016788008427E7,8451697.02573456
5077973.766902617,9902.543339880645,7841.253146020282,426.380582859313,0.6923794690651961,4.681367510103524E7,2.5285119512052443E7
1.0537121659389313E7,5588930.557515243,9307193.295926228,2102788.4679385386,2854.756037800519,2.2403986006452084E7,2.725182413699413E7
5113672.279446714,768140.0209302882,285665.76603704056,102.99189538426474,19.053155751568905,3987797.627623345,6.7042774333230436E7
4396792.645265415,8572189.395785421,3.912124152345051E7,1.5682575089780828E7,21643.589872753655,283.1369382004853,9403569.497720398
4051272.206318776,2.611773257466756E7,1.8493142876159813E7,890388.9440386876,18199.735606415095,174.1386045930101,2.7627357950398665E7
1.9524553939757884E7,2.138358273269056E7,3.0081180736664865E7,6811909.178508008,84739.95229725947,1.754072620389186E7,2.4308461204068148E8
4388225.073381872,2.2782613027170822E8,6755553.456996519,38368.35656981535,146.69545453628464,9.314832618752857E7,6354584.862961241
5.675150058289696E7,1.0720731126108259E7,866299.5401567192,3542.824498657952,2014.5870650175461,1.8135734103055176E8,8.88091373608687E7
6.591143121183849E7,9279247.713326147,351203.49406621326,1917.871132890136,0.0,2.2975008879852027E8,3.3171824323586017E7
1.1989431062574452E8,6.180882897551358E7,1.2836203733314924E7,2259.4150269535435,0.0,8.752334326130208E7,5.6401194157946065E7
9.965808278258593E7,7.469500678443669E7,1026211.0018426435,2517.7621570498804,6.658465909006447,1.5717614706370246E8,5907610.489453518
4.2770459837139435E7,2.4747709084298853E7,1.7205169924202017E7,1.1771121091229407E7,8149.532169661128,1.896371027932039E8,5.235196165186161E7
1.8485402397021987E7,6511260.897761414,3558173.9037021026,438984.8189357413,4437.804931683417,1.7848164908003563E8,1.3101202709793057E8
3.1535868557005372E7,3.993877383646828E7,7.347703654089822E7,1.9354377107618008E7,1650582.9902624716,8.230673702703072E7,9.02275059531204E7
4.758877393200666E7,3.0100364723370224E7,1.2688362979640624E7,526006.5926306971,73356.21396053888,1.441518814828414E7,2.3311405894944933E8
1.246498935712598E7,6.0572346781368576E7,1.1136676773200187E8,8.269147620621276E7,1037870.5094710119,1593590.9145487996,6.877960860827693E7
1.4167820314062314E7,1.1010849794077617E8,1.0711003234727055E8,1.3022919586694863E7,1012654.3735968831,530580.7291180688,9.255402877860546E7
5.50281204114794E7,3.976408716850464E7,7.22492457068818E7,2.9478785793793235E7,1985393.137532676,7.91033560494791E7,5.34280900661508E8
1.1182857942094073E7,5.435981538686026E8,2.9703266009903055E7,541437.9551414631,26180.2802543215,2.1661204073487577E8,1.0226023957717115E7
