0_cluster,1_cluster,2_cluster
1.834462259275602E8,6.255489678940871E8,2.390641487661054E8
6.21700463718703E8,1.3365767478402829E7,4.129932051912987E8
8.226180062301503E8,1253958.2717258155,2.2418510503612766E8
3.267798770086519E8,6.862738703847916E8,3.486500241460579E7
2.7474965099138206E8,2.1511785639516237E8,5.580525635178543E8
4.4398813106544274E8,1.92623581649323E8,4.113066341773382E8
6.401151824309773E8,1.2035131579455233E8,2.875323324954195E8
8.096668637781E8,1.3106406426415986E8,1.072687069220234E8
2.718613933185758E8,2.5427856042908576E8,5.218564310791188E8
3.7561829186887383E8,4.252109015942523E8,2.472141398812971E8
2.6568423851805303E8,2.778881865366038E8,5.044725785175468E8
3.7742402907231975E8,2.5056816419133604E8,4.2005244603833777E8
1.3523889276155084E7,1147969.2347175681,418752.858213205
1.135974288787946E7,2.314406538244549E-12,3730869.8290826925
1.4157467957212456E7,1.844042252851076E-19,933110.5207477752
6950080.73672358,8137931.933476396,566.259323334728
6594172.27468255,4405353.783354581,4089071.899553679
1.167627318579264E7,1120046.2769726461,2292253.6337488745
1.2082141655749597E7,10.338980729085941,3007584.2172776414
1.2155640843854548E7,2934107.0119434292,0.07897458967241792
1.0407261340457303E7,3712613.525251436,969826.0742574702
0.16231199334371776,1.509037980209597E7,7.760060990153746E-4
6009573.416316924,1856972.0502738154,7223858.371485597
6655608.1134753395,6947038.876778871,1487751.754819764
3.695801414791172E7,3.4279667758784585E7,5961674.5009083655
4.019736870484798E7,0.006296770676940274,3.700199456624614E7
6.741537695710188E7,6.147184806905796E-7,9783811.205900963
2.6613150516998798E7,5.030608718121798E7,269721.34092400665
3.0921505057780206E7,2.7028345024376504E7,1.923920628134537E7
5.031994003159876E7,1.676638475732971E7,1.0102604405011587E7
6.43997616329188E7,117000.97679988237,1.2678116864481162E7
5.945893098993595E7,1.7728759349692065E7,7248.909788670884
3.96938744771955E7,2.0521441924147483E7,1.697938247890785E7
18736.068308906044,7.717859524627373E7,840.7577398495744
2.624299495303999E7,1.453746955586415E7,3.641783036990179E7
4.115094845811199E7,2.683302854707846E7,9214291.420583114
7.205521314268845E7,2.3100767173237348E8,3.544841990942566E7
1.81032795929065E8,1475.0393700717257,1.5747706393617117E8
2.8959554063227236E8,4.833269632994384,4.891502158660845E7
1.012919190884017E8,2.341273512939459E8,3046443.0301227337
1.2825629195464052E8,8.271863372626926E7,1.2749121448793657E8
2.1555466972295776E8,6.3624387770732045E7,5.928652504895662E7
2.828523796202984E8,1.9346042360852063E7,3.629325193295436E7
2.6444452763822275E8,6.829344481392868E7,5753963.548168758
1.0642650224486718E8,9.62278250669243E7,1.3583655470060933E8
2.275557885683979E7,3.1172313159921116E8,4027401.083290153
9.944702294066277E7,7.733755372470969E7,1.617220734436236E8
1.5781033459027782E8,9.461665630215624E7,8.607954317768966E7
1.232268582025111E8,5.588162669126475E8,1.298467638140223E8
4.5145895555296725E8,369895.7247649592,3.600611094708616E8
6.815611249712797E8,3810.0286816481453,1.3032318573966043E8
2.5053592107259765E8,5.42836798329166E8,1.8407850134334214E7
2.6442853770224783E8,1.7675402012830722E8,3.705990364083745E8
4.154197600569637E8,1.2680674647780317E8,2.695537480732087E8
6.038960650598875E8,6.30734657749249E7,1.448732881473133E8
6.452308003028519E8,1.214666874252717E8,4.514595955483024E7
2.232556812635398E8,2.0524160084795463E8,3.833436390890234E8
2.2263415448005074E8,4.817623708184209E8,1.0748091305685548E8
1.93526161717352E8,2.2061623277767983E8,3.977363351433593E8
3.241409091289871E8,2.0566002657387725E8,2.8207751502331436E8
2.763174089767599E8,1.0518217440390326E9,4.00541679594764E8
1.0284232211493914E9,1.9136992342145044E7,6.811206057933311E8
1.3453287898947427E9,1080349.6241116615,3.82268399996689E8
5.252681636846764E8,1.1410398899471722E9,6.2150838218397535E7
4.4106354060226727E8,3.4741901268358815E8,9.399789804553714E8
7.090729488747604E8,3.1601472251986545E8,7.033701357298098E8
1.0281084268009413E9,2.078158302807499E8,4.926614563081311E8
1.334264202636809E9,1.998673168218762E8,1.944554182285961E8
4.4142572081188595E8,4.1374960507526636E8,8.73406948983957E8
6.767087521655804E8,6.056746952742311E8,4.4627283343038046E8
4.1459238019792104E8,4.799882837004439E8,8.340781951719484E8
5.96956225253721E8,4.106582425836196E8,7.210435604795454E8
