0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster,6_cluster
2.688259803472203E7,1.9893945946489266E8,8.226267710371795E7,6.4962885615179636E7,4.176011248854204E8,1.4890408127323627E8,1.0850651621058714E8
835539.5881792365,1.2670427927261704E8,6.057586802311724E8,2.846955536486081E8,2.9872471951411624E7,0.0,192911.69641514646
3413705.131676595,2.1325367666211134E8,9.74902095338648E7,7.247563332174648E8,8801557.805458752,0.0,341587.1874274823
4196588.221327087,2.985244847166957E7,6.5641318309258156E7,2.0869642671064627E8,3.546643163620625E8,1.4704524866311325E7,3.7016312686677396E8
3.433091411523582E8,2.1433616428505516E8,9.065908783165394E7,1.669689092307145E8,1.402572926235969E8,0.0,9.238947578101808E7
8.565814889481702E7,2.6074358565749413E8,3.201960455405886E8,1.640602350403811E8,1.6243807679589805E8,0.0,5.4822254962938614E7
1.48830700366201E7,1.9068158206459254E8,1.8481126106132776E8,4.986065146629127E8,1.0872684767390199E8,1813717.4765898578,4.847583774499885E7
3744551.1055181,7.756092077506244E7,1.472400058139233E8,6.512912681753782E8,9.778339140622842E7,1.3134663780144244E7,5.7244833908029325E7
8.273162467881602E7,3.823874150946372E8,1.4844323140694648E8,1.2490361854858777E8,1.6317747756851172E8,8.564612505899565E7,6.07068924702874E7
4743927.879444537,1.1207320595110676E8,3.21132234459924E8,1.6915517482997575E8,4.516188947820456E7,1.8341695732473585E8,2.123599434210344E8
1.6845240495463675E8,3.154982556723085E8,1.823441074506864E8,9.520879778295295E7,1.0755890868899265E8,4.215630632873997E7,1.3682622269388968E8
1.2242370433114485E8,2.1662543573152435E8,2.176975183933004E8,2.3385936537660807E8,1.0433848843259217E8,4.1287730574106775E7,1.1181239646271777E8
0.03817208056542124,411805.9483479825,4092219.548713986,2329981.8500716137,7926697.221882526,25875.636454074745,304031.1254423216
1.2016179180084555E-12,2723564.1869032457,5175051.22315072,7191997.258111525,0.04879711268339206,0.0,1.8827877624909663E-19
