0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
5.980741343035607E8,8.833950211081494E7,1.2173544158879596E8,6.821266892008889E7,1.716975956644995E8
3.840027289248551E7,2.646831832027317E8,6.94417656983677E8,3345985.5570073486,4.7212337752506495E7
3.9789198547948444E8,1.3410771449281773E8,9.034618059495848E7,5251745.63069063,4.204594433400519E8
3.487622625593869E8,4.747203098681196E8,6.2083939601944044E7,1.6174377703241121E7,1.4617786007535157E8
6.972750699564734E7,1.9877954337429613E8,1.3739941180578932E8,4.5336128877341485E8,1.8865231995524555E8
5.515883239797312E7,3.3771027651273274E8,4.28161203896973E8,2.0368161721427855E8,2.3206416870166264E7
3.043521801747629E8,1.5245623414280522E8,3.075070989248866E8,8.973897153089255E7,1.9394434594758666E8
5.424703193050557E8,1.0953604194226246E8,1.4350467004490775E8,2.4583150149236582E7,2.2790545352282867E8
2.384066089197872E8,8.610378764548767E7,2.5381856703962862E8,2.8773608563667345E8,1.8193133558520326E8
2.8297122783289516E8,7480190.535311428,5.034387078021086E8,4.585803839376977E7,2.0829516878033316E8
2.5827700975596806E8,6295358.750746971,3.1167706075332123E8,4.2886094835762465E8,4.293462595454282E7
2.2258508090381694E8,3675018.7216823087,4.7337821342127323E8,2.6395993635065603E8,8.444638990456283E7
8990845.17516347,4.052099041755982E-4,2861668.0141487466,74084.54144699154,3164013.637920536
1843763.3843537422,4354428.965645845,6767703.3187875785,1.673269353709692E-11,2124717.0481745773
8943400.505321616,3537225.7141538113,404768.12048607663,3.896119575409961E-9,2205184.137999025
3457408.523386657,7348464.165263967,258002.1021997012,0.00161569470422502,4024704.137058026
1939578.3423858506,3726458.847147786,1951354.423804515,1715427.947065576,5755778.397187736
1315746.7828773481,3449120.6284936625,8894592.990010718,0.01748220482634531,1429112.6776497967
4622650.019397843,4898823.377482896,2258217.677025839,1074040.5017322714,2236004.6363697103
1.119058199758693E7,538896.1120258752,0.43119245606838025,0.010115362928937865,3360269.38385234
7962864.325085571,12651.274291508042,1272044.3799437797,475690.79452552774,5366450.166120186
1.0413971561504133E7,4.252689087315612E-6,0.14572467002927264,1.726006229808612E-4,4676408.257778222
577274.3420044674,151.57618653080056,8859779.820698086,4364890.191117173,1288307.9080707177
5040875.458271267,42776.17137097788,6061582.178522146,76.25035771458343,3945088.686552099
5.054530495180456E7,343.0319666825282,1.0336070816302499E7,3621781.6098893443,1.269585599765651E7
4078077.7138136937,2.153875698773784E7,4.839462793574681E7,0.01270117429430974,3187900.627382665
2.707388571802214E7,2.269172668904309E7,2854608.242231675,0.3157854337302199,2.457896719794275E7
1.446826808233627E7,4.205161481686644E7,1995849.3085862983,454.56719928767836,1.8672772264190137E7
8192831.557384657,1.9197066094869E7,7466480.265786366,1.4770479999770895E7,2.756219844570154E7
4050802.3272290947,2.7141073941718243E7,4.183605730936751E7,1958.2051206186293,4159037.410494957
2.692314080905609E7,1.9757761235070135E7,1.0071435828572638E7,8541823.692171482,1.1900717909339542E7
6.201022925184142E7,4638677.694110053,18958.482380517755,1296.3472899467174,1.05257774738197E7
3.538922642157713E7,2296225.7031668723,9162574.151915487,1.1044290920021635E7,1.9302381683567494E7
5.3900574599543735E7,14.966241383366942,19414.958742098217,191.1271948440907,2.3277976420599498E7
9439302.876557555,279035.05661093286,3.7468512834329076E7,2.4511063309717007E7,5500380.801593672
