0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
2.0680496706837215E7,6.4855150182226E8,9.252867560917866E7,6.98819144325307E7,2.164167540169428E8
1017035.2363930419,1.4772097809471485E8,1.3010901427173225E7,1.8114820096802044E8,7.051623206621062E8
760955.2069890038,1.1254288773670265E8,1.8001624589427013E7,5.74017341706203E8,3.4273426029867923E8
8.45554414074671E7,6.108887708026785E8,1.5037019848803109E7,2.5200342811484417E8,8.543408963425526E7
1.3272121409943637E7,2.471565837143874E8,4.101154073431391E8,2.0389211776233974E8,1.734838406745913E8
3544929.817562529,2.0276698887699583E8,1.0790808792598817E8,3.385703086949179E8,3.951280315766537E8
4.150362818111312E7,4.001310303087262E8,3.824286367342347E7,3.040475429748038E8,2.6407376558286956E8
6.554632086704659E7,3.949152581205396E8,1.9604998983780235E7,4.606842410924252E8,1.0724881590048674E8
1.520976520035297E8,1.5871847910393816E8,1.7364698329564136E8,1.7644149480076E8,3.8709177562291443E8
4.0722129466463304E8,6.568645345028342E7,3.2689258982313786E7,1.7870689128029746E8,3.637394349669004E8
2.348557557431202E8,8.250777741247909E7,1.6312228296937406E8,1.8379677603838703E8,3.837624114088448E8
2.078911554333962E8,7.682786938496673E7,1.9595986792814836E8,2.5039485439040363E8,3.169708921650693E8
5.1069940925528715E-8,4768907.6676793955,348854.6973080341,6617405.408108141,3355443.5959895337
7.583023223481618E-6,3427100.4606285905,0.1093759724207888,3488838.3549903273,8174673.791959045
1.075850189601831E-19,529175.3148747025,211374.4521427757,1.2529145165601E7,1820883.5453420742
537254.9019527067,8899594.605401099,0.0028755938464426404,3459077.925655215,2192651.493638898
999543.053622825,5921951.726672922,2479193.9477005783,3226374.272526608,2461534.957068392
3.2434434942508586E-8,2498460.930731882,1.942091923285253E-4,6686853.40570954,5903258.759878645
7.963627029747182,6060542.555779159,640316.3769040455,6074156.954154278,2314712.361544152
169852.47451363268,5370478.228640027,0.02410063361423207,9549392.189813644,25.017705126227284
161441.0019905578,5295615.632169374,183030.83001815763,8541462.015790015,908151.4599984984
1.4684898984139755E7,277312.4423739618,7.660283073481671E-5,101131.80535146558,27036.733242160153
1520040.323153803,2271090.494281497,841795.2111593535,2235133.4420325477,8222344.367449215
5008686.199933538,4019724.686018174,2787.647826322502,2395538.625911965,3663661.585384668
1.4005476070015848,4.437658932970959E7,5101297.714747803,1.809185212375433E7,9629615.838854965
6.792449114090776,1.025282161551258E7,1998.4628308473086,1.752011224525814E7,4.942442416133349E7
3.8165629914903715E-7,5278956.407480898,572757.4125149688,5.2923439072379954E7,1.8424035270636022E7
3587723.6894275304,5.08981564705785E7,578.6518033429054,1.6651261409665203E7,6051238.817680893
6321023.851151764,3.2798555481957622E7,1.570389985656811E7,1.5173580768487837E7,7191996.405335034
0.5892564048010445,1.9482519291104518E7,59.75152450045452,3.433208921028039E7,2.3374260351776253E7
66884.06268583008,3.260388188373737E7,4794634.555034306,2.9575266650044892E7,1.0154212322709795E7
4762111.766645575,3.7750816736691564E7,1791.0602023864067,3.457231880475874E7,107900.88113858369
8850699.41240611,2.0891529585138254E7,5065370.937909553,3.016226887117515E7,1.2224830073631413E7
7.57665076607633E7,945474.7396288728,91.98871185404847,387391.56259273156,98706.12062625948
1.0348427456937157E7,9060535.312390985,1752498.8902205639,1.3056020620257108E7,4.298081259900914E7
2.230392808200228E7,1.3005461517374454E7,397531.27700743254,2.2413653041081723E7,1.907769450832919E7
34930.00639634594,2.470745778661767E8,2.727949711565168E7,3.7759662724350385E7,2.6362637071913205E7
20262.97268492032,5.139098221955585E7,841431.766671968,5.154938653935973E7,2.3470927140632346E8
2.9473684573652683,2.8427079166145965E7,637241.9146554979,2.1898589162876123E8,9.046035139521709E7
1.1201466874141973E7,2.3169009839076805E8,780371.7037351066,7.252197848942749E7,2.227179795439645E7
1.0239909795289103E7,1.0011881145443207E8,8.698667708676131E7,8.87864227320842E7,5.233431910028088E7
12166.26798517671,7.102522004029517E7,255764.24539326606,1.6327928890433675E8,1.0389314308463386E8
9057762.697244234,1.5491335262948725E8,1.388593742768076E7,1.2930809814589274E8,3.1326523013804786E7
2.5567789111625608E7,1.7900795833614495E8,1324922.0253776885,1.1788948616228312E8,1.4701780364889838E7
5.755815223578307E7,6.518033068659252E7,4.4581117864276744E7,6.940603704432191E7,1.0176524418142924E8
3.066123489626658E8,8356172.953315007,483199.9737748124,1.3060861581547186E7,9993528.0680382
5.737587842041748E7,2.877930652769588E7,1.875667127229766E7,6.855518609926249E7,1.650396077893317E8
7.581445745054018E7,4.798091768534751E7,1.2060551618510596E7,9.330625222327714E7,1.0934435509244761E8
3241086.8039067187,5.836045227847348E8,7.046059852951913E7,6.054494126799241E7,9.403873954302949E7
181877.22143769392,1.0689162659962848E8,6243008.45480106,1.340536706909413E8,5.645197777817837E8
2293.3545742632036,8.848678690163308E7,4563307.73366708,4.778456813813032E8,2.4099005136844492E8
4.8848405388319716E7,5.1292321466206026E8,7247006.22419893,1.7510735427923217E8,6.765458898227756E7
1.5368326004001655E7,2.1092681090291682E8,2.6882287438173753E8,1.9104362612052053E8,1.2561995682974961E8
993602.8359791746,1.4196050435280266E8,1.4058747523816805E7,3.084022742633247E8,3.463651256320528E8
2.8970816358763114E7,3.505882669353985E8,2.9376260402420156E7,2.6172364344751355E8,1.4118383183802924E8
5.101127783171305E7,3.8322912600945956E8,1.0326441644932892E7,2.970718750102639E8,7.020472678658961E7
1.2090886783414426E8,1.346665440226726E8,1.2906742025368044E8,1.4272082360260063E8,2.8447726548741937E8
4.6513675978630704E8,3.910041931158535E7,1.477992400473421E7,1.1123238533862962E8,1.8162794991407138E8
1.7376533032512653E8,6.071963002953645E7,9.625171956866549E7,1.5681271667111322E8,3.243293330439537E8
1.6086109511470997E8,8.219272490913899E7,1.0898725599097629E8,2.054101788621999E8,2.5442719584914768E8
3.407683501983963E7,1.0865199829579513E9,1.5331776887192902E8,1.0136621718686703E8,3.5340002857395405E8
1109614.8112102854,2.300474542084022E8,2.2650312296715025E7,3.0304405364926726E8,1.171829384319315E9
639033.5676253715,1.908744168260043E8,3.63575120935598E7,9.313904388430103E8,5.694161381853287E8
1.5141130591444212E8,1.0021266353247904E9,2.8429249906971987E7,4.1041932411002886E8,1.3607237659401318E8
1.8064509147821844E7,3.9777134768522763E8,6.925757725140158E8,3.3135493811699986E8,2.8869496627715063E8
6735995.690202139,3.288861881731143E8,1.710696446094587E8,5.440656032849522E8,6.777003753667164E8
7.055874859707868E7,6.563506881735185E8,5.663931434606066E7,4.839417989786868E8,4.610951632944675E8
1.0662880707642075E8,6.251813776202137E8,3.6366183277119696E7,7.718775754488665E8,1.8853299426464462E8
2.4104837692647862E8,2.6090354002484316E8,2.9624235039940906E8,2.9069056859982574E8,6.396974389205608E8
5.765756718139338E8,1.1121424580019227E8,6.1495596453849964E7,3.195799161684933E8,6.597908506337237E8
4.106346400895343E8,1.3462487142871243E8,2.83656022070756E8,2.888426304506268E8,6.109006950306963E8
3.403377202986138E8,1.1610904017851241E8,3.572784607142484E8,4.067232397608279E8,5.082095673646777E8
