0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
258024.5573328404,3.4662522026352495E8,1.3242856219909318E8,4.4241313415091157E8,1.263344014168842E8
68199.56393201805,3.181968212016929E8,4.779394049413714E8,2.3297553622251678E8,1.887947445889801E7
534.1164772794782,5.3082858571359015E8,4.409723171487785E8,4.9296388895763E7,2.6959243663396046E7
103540.14145474852,1.3176000217750448E8,1.2133498840821481E8,7.527853850332657E8,4.193483404761421E7
68467.43425319289,3.324913399907038E8,8.306827601675895E7,5.532696170647116E8,7.90223703979702E7
12064.220277571128,5.428068140354176E8,2.3186998509492013E8,1.528589131103151E8,1.2037057043118799E8
1.1834340955157438E8,1.5896802518147922E8,2.1283014715575916E8,4.454865385487206E8,1.1237071028340137E8
3.711816310676222E8,1.949780015354496E8,7.898878709194882E7,3.658967794134019E8,3.695443585586553E7
2.2596377147152014E7,2.1563297502882135E8,2.2262276487060302E8,3.313316319610073E8,2.55812635819202E8
0.0,1.5605374590363082E8,1.9367887207138407E8,6.434278251739912E8,5.488289019541953E7
0.0,4.024295812122518E7,9.171255571282177E7,6.996873159690828E8,2.1640217376908514E8
6249.882181041899,1.534672017151328E8,2.3597380585518104E8,4.3029049215494835E8,2.2830688969455028E8
2.099972682492787E-8,1692184.0896425047,2269221.4220888773,8645206.738821194,2483999.1185321743
4.287265900970006E-12,3224236.354678966,5370740.704577202,5864704.28561502,630931.3720912754
2.559216050746437E-18,1.1121974943792615E7,3394077.1499729333,141519.96580822452,433006.4183867568
6.031589174746837E-11,1786967.5442927207,1921973.870206493,1.0299985373929689E7,1079652.1410942217
3.910483119819976E-8,5660188.742280297,1967326.9841813543,5844299.4323599795,1616782.7987701667
7.68154366493524E-15,8450259.6666096,2279774.6630163984,2654262.5967785413,1704276.170110243
40601.16296251948,2303620.57582515,1110996.7960822843,9761131.43738715,1873386.2397513578
5470990.258776462,1919873.6993691144,428085.2103445568,7270298.869064553,499.8972188153846
169891.4985200266,2902875.9436511663,661052.4695718222,1.0948904649473894E7,406976.378748682
0.0,115509.28547893166,16125.11368002231,1.495713478355145E7,1610.782472953609
0.0,1997851.264486027,2904403.504957858,7308648.171492601,2879500.8971390575
1.0300403422827436E-14,2316270.9174256837,1113626.5936006608,1.0294645268334912E7,1365855.9657130558
0.13833749458347755,2.089041101269756E7,6432756.937924875,3.865979170888087E7,1.1216396609775616E7
