siteId,site,field,distanceWeight,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11
Minden01,Minden,01,no,6773.5764705882375,15663.019607843149,8597.266666666666,16359.223529411764,646,87210.47058823532,163711.7176470589,17892.403921568624,17407.996078431373,5946.333333333331,5243.780392156863,1794.6039215686274
Minden01,Minden,01,const,1165149.5318028782,5461446.310083893,1512469.5373352915,3189526.034156616,292530.16684198956,19839672.83920479,69349143.46911193,5753265.639495481,4447761.078479433,2457667.278165352,1430798.5201976278,703349.8155481258
Minden01,Minden,01,sig1,2.0451104552350803e-7,0.030619207396226936,3.608054289781135e-4,6.881339362707869e-5,0.0463577595833278,1.420729214034295,1661.8278266859518,0.044173655315761666,0.7900521309039362,0.08530538674758262,0.12503555989451542,0.0738160505240062
Minden01,Minden,01,sig2,0.008794588072625044,60.82161965057905,0.6372500282932169,0.2996700257250233,22.33570326596427,304.2758657483806,7698.168878274929,43.6000964987639,219.70307599916077,49.93660302828571,71.90470809429989,43.56553592773174
Minden01,Minden,01,sig3,8.751524480053723,1933.797497028539,9.305729532800546,30.35079040845553,130.82242636003758,2776.1739209025222,28548.042412985207,933.0675614340292,1565.9358393212456,543.6491440747486,545.674164238383,313.10393871603725
Minden01,Minden,01,sig4,222.47831713646826,4868.66239750583,95.93423557266348,730.5856494862081,226.45386946114778,8250.753288838887,64802.58990455838,3855.079163198774,2776.188569628773,2024.6719293103858,1042.8738885165008,657.5230819010385
Minden01,Minden,01,sig5,2053.6899311263364,8944.413337964264,2211.996342119645,5707.270779205151,498.58109249637965,32479.53749912787,113697.10658001064,10257.636465506386,7019.522487463986,4459.458548548278,2214.2911823424593,1147.3883045805528
Minden02,Minden,02,no,2055.0588235294117,2133.694117647059,732.1803921568629,0,4216.490196078432,42608.2823529412,107168.98039215691,12220.66666666666,946.9647058823529,3903.1490196078435,171113.3607843138,135.4392156862745
Minden02,Minden,02,const,454561.7333719262,426996.76290358684,133801.04045429762,0,1082135.6750103354,15104989.57706324,35875408.06498482,3358620.313150837,153698.92109865174,1012155.0456862563,57992793.99910375,3777.481178560917
Minden02,Minden,02,sig1,27.876359621779837,4.4738937662855194e-4,1.8813614441968531,0,9.287202847111741e-10,333.7818934623129,1144.817289201825,63.34899656048224,5.294264618000984e-10,9.73029861340286,83.08661986833603,6.391899329182554e-26
Minden02,Minden,02,sig2,77.30830871051447,0.5049081345595995,3.4741751248212696,0,0.0023759934821889054,2054.697861994844,3828.7585214895785,329.1933642753195,7.691058693964209e-4,65.24621019936286,2156.0411841129567,8.759278878739982e-13
Minden02,Minden,02,sig3,114.91271959216736,14.959828447080367,13.119605121004742,0,15.68989223743147,5899.737971011132,12861.442909293863,890.7157311693438,3.1318946182664047,146.83896246764763,17377.349618083153,1.2241298144873678e-5
Minden02,Minden,02,sig4,163.73224487481488,158.34818282997384,60.77853180699119,0,480.12949533982436,12259.11851720261,27909.597784771257,2190.682974769623,43.59894441711773,461.937878520485,45822.51439658025,0.011330099080976873
Minden02,Minden,02,sig5,653.9681726914279,733.1466714264504,211.9351933683126,0,2028.0790067124478,24477.952550775914,57504.32800940346,5518.997294448619,212.77182082415266,1824.3154238185316,97514.86464014069,3.769668344439683
Yerington02,Yerington,02,no,1623,40493.42745098039,1611,96210.08627450987,109,40896.384313725495,68371.11764705884,50191.168627451,16718.270588235297,7761.035294117649,21701.77647058824,1318.3529411764703
Yerington02,Yerington,02,const,383324.9231579647,11624850.631482458,284919.14302318875,34611378.94091494,14937.40229462254,15517672.034451565,22443109.07218404,18210284.06028872,5068753.949843278,2478548.3532774677,4492013.27541665,656063.5985049234
Yerington02,Yerington,02,sig1,90.93684077643486,1.4229614645248285,1.6404268695487036e-4,19.816174957032175,3.182520472337622e-21,844.814460338526,152.42201566851784,427.1845160750846,40.05666210023457,23.615710888850728,23.743699699601112,43.146599625553414
Yerington02,Yerington,02,sig2,135.80100496603487,35.262317936880564,0.17487058191759838,1234.9779877733617,2.613291316974643e-10,2398.8811140955986,1545.3129977059862,2145.217085292645,320.3756312274722,185.0747609778574,370.95097130152044,157.1881989992002
Yerington02,Yerington,02,sig3,146.99296769427343,1499.931549222621,1.1147703449212583,10958.721630877944,3.11622483735015e-4,5352.713756393851,8145.585138816009,7341.014148664733,1115.1896514828265,651.9042759297398,1829.4656253839112,356.99246707636615
Yerington02,Yerington,02,sig4,199.60659357912218,7057.348322980174,13.456924741011163,28379.947702898346,0.13185783057959263,12401.973497232695,17139.85438455749,15505.766288942277,3371.193793853309,1772.6301335235214,3205.628868303404,652.3273478876207
Yerington02,Yerington,02,sig5,472.02621432618474,20349.622836460112,367.1852013035515,58349.150406165434,16.591229172968177,25836.088905140386,36400.99270836582,29154.835594664928,8634.898258708288,4098.111228227133,6292.126221399825,1014.2943241760734
Yerington03,Yerington,03,no,2429.454901960784,49132.76470588237,23625.372549019627,28263.04313725492,522.1450980392157,51165.27058823533,65467.098039215685,58571.01176470589,13853.843137254902,11327.262745098044,42839.16078431374,646.6666666666666
Yerington03,Yerington,03,const,548437.5265523595,13619029.16899412,4701579.444206073,7249497.224270926,144595.21515495089,17124209.141881507,28861522.96869895,17289866.42257278,5392424.556360601,3025063.046982875,17694892.771780707,145202.89543490074
Yerington03,Yerington,03,sig1,3.117669989459858,0.0015362484090173402,2.1973823417998595e-5,230.74875491885197,12.478643848937995,404.8525815845023,430.54325435873415,154.8085568052763,258.8268520351483,94.53432206094722,77.50112511488825,2.408797520638469e-13
