siteId,site,field,distanceWeight,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11
Minden01,Minden,01,no,6772.5764705882375,15664.019607843149,8597.266666666666,16359.223529411764,646,85856.4705882353,165232.7176470589,17903.403921568624,17230.996078431377,5945.333333333331,5243.780392156863,1794.6039215686274
Minden01,Minden,01,const,1164626.2460956015,5461969.59579117,1512469.5373352915,3189526.034156616,292530.16684198956,19007719.21849188,70313775.15918192,5761916.948452191,4306949.467230515,2457149.5111003565,1430798.5201976278,703349.8155481258
Minden01,Minden,01,sig1,2.0451075584431424e-7,0.03061920739651661,3.608054289781135e-4,6.881339362707869e-5,0.0463577595833278,0.27755365349397326,1663.4068461092643,0.06032201726966038,0.33805990617802356,0.08530538674738575,0.12503555989451542,0.0738160505240062
Minden01,Minden,01,sig2,0.008792477549351217,60.8216217611023,0.6372500282932169,0.2996700257250233,22.33570326596427,152.50015480913143,7912.323673379928,48.108566449565515,152.8155235751198,49.93660133581295,71.90470809429989,43.56553592773174
Minden01,Minden,01,sig3,8.7320284830445285,1933.8169930255483,9.305729532800546,30.35079040845553,130.82242636003758,2183.127194617705,29280.033632604147,944.1972961990107,1415.8786375142859,543.6321177826734,545.674164238383,313.10393871603725
Minden01,Minden,01,sig4,221.86394827772054,4869.276766364577,95.93423557266348,730.5856494862081,226.45386946114778,7298.635405545849,65915.12103125929,3864.0670054335583,2607.3753962198057,2024.0840170767676,1042.8738885165008,657.5230819010385
Minden01,Minden,01,sig5,2052.7107820460255,8945.392487044579,2211.996342119645,5707.270779205151,498.58109249637965,31239.13893057345,115103.2680752414,10267.712892426101,6844.660524149979,4458.481158266622,2214.2911823424593,1147.3883045805528
Minden02,Minden,02,no,2055.0588235294117,2133.694117647059,732.1803921568629,0,4216.490196078432,40522.28235294119,109264.98039215691,12216.66666666666,940.9647058823529,3903.1490196078435,171113.3607843138,135.4392156862745
Minden02,Minden,02,const,454561.7333719262,426996.76290358684,133801.04045429762,0,1082135.6750103354,14040902.702003766,36942873.060251914,3357188.6051410693,151752.5089009811,1012155.0456862563,57992793.99910375,3777.481178560917
Minden02,Minden,02,sig1,27.876359621779837,4.4738937662855194e-4,1.8813614441968531,0,9.287202847111741e-10,266.6349709345203,1211.9642117296162,63.34899656048224,5.294164981871334e-10,9.73029861340286,83.08661986833603,6.391899329182554e-26
Minden02,Minden,02,sig2,77.30830871051447,0.5049081345595995,3.4741751248212696,0,0.0023759934821889054,1742.050615723909,4141.40576807403,329.1933642722908,7.687949645687602e-4,65.24621019936286,2156.0411841129567,8.759278878739982e-13
Minden02,Minden,02,sig3,114.91271959216736,14.959828447080367,13.119605121004742,0,15.68989223743147,5206.836509043669,13554.351493347005,890.71512647289,3.125377229117237,146.83896246764763,17377.349618083153,1.2241298144873678e-5
Minden02,Minden,02,sig4,163.73224487481488,158.34818282997384,60.77853180699119,0,480.12949533982436,11199.697822047494,28969.649026987692,2190.552882484917,43.098489640492396,461.937878520485,45822.51439658025,0.011330099080976873
Minden02,Minden,02,sig5,653.9681726914279,733.1466714264504,211.9351933683126,0,2028.0790067124478,22890.126039267827,59099.39406645917,5515.737056470687,208.79251325465378,1824.3154238185316,97514.86464014069,3.769668344439683
Yerington02,Yerington,02,no,1512,40514.42745098039,1611,95671.08627450987,109,35967.384313725495,75094.11764705884,50070.168627451,15683.270588235293,7752.035294117649,21701.77647058824,1318.3529411764703
Yerington02,Yerington,02,const,278058.53968184756,11644734.448593631,284919.14302318875,34424728.20721633,14937.40229462254,12249866.530453522,26534742.562761866,18094797.65893041,4635118.2928086575,2475875.725154304,4492013.27541665,656063.5985049234
Yerington02,Yerington,02,sig1,15.630705210164882,15.50489042501187,1.6404268695487036e-4,19.816174080301234,3.182520472337622e-21,362.68812154833523,792.5810409049741,331.97757413241914,38.45512507915083,23.615710888850728,23.743699699601112,43.146599625553414
Yerington02,Yerington,02,sig2,27.199140001188173,55.7984795012102,0.17487058191759838,1234.9415214051457,2.613291316974643e-10,1164.5230327245545,3003.5864356599104,2024.0843003748046,305.69522933354995,185.0747609756336,370.95097130152044,157.1881989992002
Yerington02,Yerington,02,sig3,36.13522159511205,1520.9040754057366,1.1147703449212583,10945.813160628953,3.11622483735015e-4,2820.042472167978,10963.986266909502,7221.930163667024,1051.3381071811743,651.9036515265067,1829.4656253839112,356.99246707636615
Yerington02,Yerington,02,sig4,88.62121810386819,7078.345503783729,13.456924741011163,28300.458340355133,0.13185783057959263,8662.617754373252,21478.294810704414,15386.710125428463,3060.795331373619,1772.477633444403,3205.628868303404,652.3273478876207
Yerington02,Yerington,02,sig5,361.03031212048285,20370.622048757858,367.1852013035515,57984.910218782185,16.591229172968177,21300.68952546825,42335.236289400884,29034.2085353954,7816.423087188244,4092.6061349453016,6292.126221399825,1014.2943241760734
Yerington03,Yerington,03,no,2318.454901960784,49153.76470588237,23497.37254901963,27114.403921568646,536.4823529411766,45109.631372549055,75075.09019607844,58466.01176470589,11767.792156862746,11318.262745098044,42839.16078431374,646.6666666666666
Yerington03,Yerington,03,const,521656.3257380605,13623751.724350581,4695469.140386127,6748189.95072432,145700.41929475495,14618287.731081301,32788426.056935348,17261219.078582108,4534490.432200315,3019033.856382424,17694892.771780707,145202.89543490074
Yerington03,Yerington,03,sig1,3.117669989459858,0.0015362484090173402,2.1973823417998595e-5,7.839986192952032,12.478643848937995,221.61881143653056,1002.0521173554913,154.90333712403822,93.36574771126239,94.53432194317011,77.50112511488825,2.408797520638469e-13
Yerington03,Yerington,03,sig2,6.645254043442763,4.125548213826439,0.17286733479930677,184.05807464669482,45.78215577907348,1417.4831060531722,4305.150628027474,638.017535077573,449.58912717747785,224.35430673218687,1253.962032951459,1.0191153973173463e-5
Yerington03,Yerington,03,sig3,22.791578509777946,565.7163383641102,29.46270115559554,1028.9890637761764,83.10060625474111,4277.788146137812,17202.05471019613,3103.812029752797,1734.798195779006,491.52093271941067,8860.877992595446,0.27741415442815404
